"HolderAddress","Balance","PendingBalanceUpdate"
"0x8e6e23c064ef0e83410ff1a1cb23ee6121769bbf","124,036,842.240925654878746186","No"
"0x7f59fc227dca353501cd008093d5a12e973cc38b","39,511,163.191411606604176014","No"
"0x59a0c1a21fb0e336ec891c8b4a250e9e2108e6f1","37,914,965.176522263","No"
"0x25729a8bba9f1507c0faf6a5c2bb0466e1a314ae","32,497,324.664104770331345415","No"
"0x3ff3e04f7e4ff545d96506ecca4abd7b5e194185","28,000,000","No"
"0x2b4c0e60e44512ac9d4ad2e386142b18cf8242f2","26,194,000","No"
"0xfc75b92acc79e939c391cc3c028c8cb857586946","25,006,500","No"
"0xf2bd36c3eaf6147d05526a8b17e496c74dd0b03b","24,260,928.011420168618710519","No"
"0x8852895494ab61a3d0604b32dedd541cedb48c0b","22,400,000","No"
"0x620ca635c38e5c82060be5686de9e078ede7e5c2","20,708,246.968132556005703704","No"
"0x5b89f31a9f4133f46b339d1c672a9e10c7c1f720","20,000,000","No"
"0x46ac9749149d09a99a78497a1bf6188b0488d31d","16,850,220.552017332897134803","No"
"0x5fc30506f8d15ddbf03e7b9c568a587f0113209a","16,000,000.000000135788413544","No"
"0x9e6329f745e00bcc3e7452d1553a84fe3b162b29","15,632,800.087447381668195381","No"
"0xb549e1816488290ac64091e2dce04b3d766bff4a","13,209,500","No"
"0x5157190838d0401e948d1f94effc6690696862f0","13,175,586.780901637019421166","No"
"0xed5488224598bf3167ef67ce40a892bacf2a74d9","12,998,859.395895193878056469","No"
"0xa27456ea70954aa3b2a16aa05a1c59ec03f569f3","12,602,207.581507396","No"
"0x68410af70a91cd2c1c0917d52cddd94f45d55400","12,000,000","No"
"0xbfbab74df21e6f84f7bd001cff99112c7679f593","11,822,732.974683918600525352","No"
"0x6db35b6737cf21c7db30eb3300dab6ee7dde8958","11,701,262.646699701467909994","No"
"0x69b8d5290c2688f23ff4cd1a2f8a8304defa5f4a","11,630,551.626580246074480399","No"
"0x10c2250585e7c0c7ed44eb8a185298721373ab55","11,000,294","No"
